Site,Replicate,Group,Biomass
Oudekraal,O1Q7,Herbivore,0
Oudekraal,O1Q8,Herbivore,0
Oudekraal,O2Q1,Herbivore,0.35
Oudekraal,O2Q2,Herbivore,0
Oudekraal,O2Q3,Herbivore,0.45
Oudekraal,O2Q4,Herbivore,56.85
Oudekraal,O2Q5,Herbivore,0
Oudekraal,O2Q6,Herbivore,0
Oudekraal,O2Q7,Herbivore,0
Oudekraal,O2Q8,Herbivore,26.35
Betty's Bay,Y1Q1,Turf,0.41
Betty's Bay,Y1Q2,Turf,0
Betty's Bay,Y1Q3,Turf,0
Betty's Bay,Y1Q4,Turf,0
Betty's Bay,Y1Q5,Turf,1.65
Betty's Bay,Y1Q6,Turf,0
Betty's Bay,Y1Q7,Turf,0
Betty's Bay,Y1Q8,Turf,0
Betty's Bay,Y2Q1,Turf,5.25
Betty's Bay,Y2Q2,Turf,0
Betty's Bay,Y2Q3,Turf,0.65
Betty's Bay,Y2Q4,Turf,0
Betty's Bay,Y2Q5,Turf,0
Betty's Bay,Y2Q6,Turf,0
Betty's Bay,Y2Q7,Turf,0.15
Betty's Bay,Y2Q8,Turf,0.3
Betty's Bay,Y1Q1,Foliose,0.35
Betty's Bay,Y1Q2,Foliose,1.15
Betty's Bay,Y1Q3,Foliose,0
Betty's Bay,Y1Q4,Foliose,0.3
Betty's Bay,Y1Q5,Foliose,2.15
Betty's Bay,Y1Q6,Foliose,0.35
Betty's Bay,Y1Q7,Foliose,0
Betty's Bay,Y1Q8,Foliose,0
Betty's Bay,Y2Q1,Foliose,0
Betty's Bay,Y2Q2,Foliose,0
Betty's Bay,Y2Q3,Foliose,0
Betty's Bay,Y2Q4,Foliose,0
Betty's Bay,Y2Q5,Foliose,0.7
Betty's Bay,Y2Q6,Foliose,0.55
Betty's Bay,Y2Q7,Foliose,0
Betty's Bay,Y2Q8,Foliose,0.55
Betty's Bay,Y1Q1,Scavenger,0
Betty's Bay,Y1Q2,Scavenger,0
Betty's Bay,Y1Q3,Scavenger,0
Betty's Bay,Y1Q4,Scavenger,0
Betty's Bay,Y1Q5,Scavenger,0
Betty's Bay,Y1Q6,Scavenger,0
Betty's Bay,Y1Q7,Scavenger,0
Betty's Bay,Y1Q8,Scavenger,0
Betty's Bay,Y2Q1,Scavenger,0
Betty's Bay,Y2Q2,Scavenger,0
Betty's Bay,Y2Q3,Scavenger,0
Betty's Bay,Y2Q4,Scavenger,0
Betty's Bay,Y2Q5,Scavenger,0
Betty's Bay,Y2Q6,Scavenger,0
Betty's Bay,Y2Q7,Scavenger,0
Betty's Bay,Y2Q8,Scavenger,0
Betty's Bay,Y1Q1,Sessile species,6.7
Betty's Bay,Y1Q2,Sessile species,54.9
Betty's Bay,Y1Q3,Sessile species,38.8
Betty's Bay,Y1Q4,Sessile species,86.4
Betty's Bay,Y1Q5,Sessile species,35.3
Betty's Bay,Y1Q6,Sessile species,6.85
Betty's Bay,Y1Q7,Sessile species,38.8
Betty's Bay,Y1Q8,Sessile species,3.15
Betty's Bay,Y2Q1,Sessile species,9.55
Betty's Bay,Y2Q2,Sessile species,3.6
